NFUS1	Neochildia fusca
CSUB1	Childia submaculatum
CNAI1	Convoluta (Praesagittifera) naikaiensis
DLON1	Diopisthoporus longitubus
HMIA1	Hofstenia miamia
IPUL1	Isodiametra pulchra
PRUB1	Paratomella rubra
SYRO2	Symsagittifera roscoffensis
HCAR1	Hermodice carunculata
PCAL1	Pareurythoe californica
GVUL1	Golfingia vulgaris
PGOU1	Phascolopsis gouldii
PAGA1	Phascolosoma agassizii
PHGR1	Phascolosoma granulatum
SNUD1	Sipunculus nudus
PBAL1	Psammodrilus balanoglossoides
CHAE1	Chaetopterus sp. SL-2014
CVAR1	Chaetopterus variopedatus
MMIN1	Mesochaetopterus minutus
PHYL1	Phyllochaetopterus sp. KMH-2014
DGYR1	Dimorphilus gyrociliatus
TAXI1	Trilobodrilus axi
MPIT1	Magelona pitelkai
MHEE1	Myriochele heeri
OFUS1	Owenia fusiformis
HRPE1	Hrabeiella periglandulata
AEOL1	Aeolosoma sp.
CMAT1	Carpetania elisae
NNAJ1	Norana najaformis
EAND1	Eisenia andrei
MVUL1	Metaphire vulgaris
ECRY2	Enchytraeus crypticus
PVOL1	Propappus volki
DLER1	Delaya leruthi
PELO1	Pelodrilus sp. HAPS2
CYCO1	Cylicobdellidae sp. DSW-2020
HROB1	Helobdella robusta
WPIG1	Whitmania pigra
HMED1	Hirudo medicinalis 
PHAG1	Phagodrilus sp. DSW-2020
SHER1	Stylodrilus heringianus
TSTR1	Trichodrilus strandi
DRAW1	Drawida sp. KH-2017
PMEY1	Parvidrilus meyssonnieri
RAND1	Randiella sp. DSW-2020
AUJA1	Aulodrilus japonicus
BASP1	Bathydrilus sp. DSW-2020
BVEJ1	Bothrioneurum vejdovskyanum
CDIA1	Chaetogaster diaphanus
OLAV1	Olavius sp. CE14538
PASP1	Paranais sp. DSW-2020
RPIG1	Rhyacodrilus pigueti
TJUG1	Troglodrilus jugeti
PHRC1	Phreodrilidae sp. C DSW-2020
PHRE1	Phreodrilidae sp. A DSW-2020
MEGA1	Megadrilus sp. A5911
PCHA1	Protodriloides chaetifer
PSYM1	Protodriloides symbioticus
OXIA1	Ophryotrocha xiamen
HIST1	Histriobdella sp. ET-2021
NNIG1	Ninoe nigripes
LIOC1	Laetmonice cf. iocasica ET-2021
COCC1	Chrysopetalum occidentale
AFUS1	Amphiduros fuscescens
LACY1	Lacydonia sp. ET-2021
LOPA1	Lopadorrhynchus sp. ET-2021
SCAM1	Struwela camposi 
NEPH1	Nephtys sp. ET-2021
AVIR1	Alitta virens
PAIB1	Perinereis aibuhitensis
PDUM1	Platynereis dumerilii
PMED1	Phyllodoce medipapillata
PVER1	Pilargis verrucosa
LEYZ1	Lepidonotopodium sp. YZ-2016
PHBA1	Pholoe baltica
SGRA1	Sphaerodorum gracilis
SYGR1	Syllis gracilis
TOMO1	Tomopteris sp. ET-2021
TRAV1	Travisiopsis sp. ET-2021
APAC1	Abarenicola pacifica
COCO1	Arenicola marina 
CTEL1	Capitella teleta
HFIL1	Heteromastus filiformis
OACU1	Ophelina acuminata
TMUC1	Thoracophelia mucronata
SINF1	Scalibregma inflatum
DSUB1	Diurodrilus subterraneus
LROB1	Leitoscoloplos robustus
NDEN1	Naineris dendritica
PHEI1	Parergodrilus heideri
SPIN1	Spinther sp. SA-2015
MOCC1	Manayunkia occidentalis
AORS1	Anamobaea orstedii
MINF1	Myxicola infundibulum
LSAT1	Lamellibrachia satsuma
OALV1	Oasisia alvinae
OFRA1	Osedax frankpressi
PECH1	Paraescarpia echinospica
RPAC1	Riftia pachyptila
BWEL1	Boccardia wellingtonensis
CCIR1	Cirratulus cirratus
FMUN1	Flabegraviera mundata
SSCU1	Sternaspis scutata
APOM1	Alvinella pompejana
HINV1	Hypania invalida
MOCU1	Melinna oculata
NROB1	Neoamphitrite robusta
TEST1	Terebellides stroemi
TROS1	Trichobranchus roseus
CROT1	Carcinoscorpius rotundicauda
LPOL1	Limulus polyphemus
TGIG1	Tachypleus gigas
TTRI1	Tachypleus tridentatus
RROB1	Rhizoglyphus robini
PPEL1	Platynothrus peltifer
BTRO1	Blomia tropicalis
HRUF1	Hypochthonius rufulus
NPAL1	Nothrus palustris
SASC1	Sarcoptes scabiei
SMAG1	Steganacarus magnus
HDES1	Halotydeus destructor
PCIT1	Panonychus citri
TCIN1	Tetranychus cinnabarinus
TURT1	Tetranychus urticae
LDEL1	Leptotrombidium deliense
DTIN1	Dinothrombium tinctorium
CIOA1	Charinus ioanniticus
CISR1	Charinus israelensis
DAMO1	Damon sp. Maynooth
PMAR1	Phrynus marginemaculatus
NOVA1	Novanapis sp. RK-2018
ABRU1	Argiope bruennichi
NARA1	Neoscona arabesca
SRUF1	Sphodros rufipes
MENN1	Menneus sp. RK-2018
PARA1	Paramatachia sp. RK-2018
ARAQ1	Argyroneta aquatica
SDUM1	Stegodyphus dumicola
KHIB1	Kukulcania hibernalis
SCAP1	Sergiolus capulatus
POTW1	Progradungula otwayensis
HTHE1	Homalonychus theologus
ARCH1	Archoleptoneta schusteri
LTHA1	Liphistius thaleban
SROV1	Schizocosa rovneri
MFUL1	Megahexura fulva
ELEO1	Ero leonina
MGUT1	Microdipoena guttata
MLEI1	Mysmena leichhardti
NICO1	Nicodamidae sp. 2 RK-2018
OCHY1	Ochyrocera sp. RK-2018
OECO1	Oecobius cellariorum
OPOP1	Opopaea sp. RK-2018
ORSO1	Orsolobidae sp. RK-2018
PALB1	Pararchaea alba
PMAN1	Pholcus manueli
HUST1	Habronattus ustulatus
SEGE1	Segestria sp. NG-2016
LDES1	Loxosceles deserta
PTEP1	Parasteatoda tepidariorum
TSAV1	Theridiosoma savannum
TRAD1	Tengella radiata
DAMP1	Dampetrus sp. RF-2017
ANEO1	Acropsopilio neozelandiae
THER1	Theromaster sp. RF-2017
FMAR1	Fissiphallius martensi
